applicant_id,years_experience,graduation_year,university_ranking,gpa,github_contributions,zip_code,attended_bootcamp,gap_years,name_origin,hired
2001,5,2018,25,3.8,320,94110,0,0,Western,1
2002,2,2021,180,3.2,45,48205,1,1,Non-Western,0
2003,8,2015,10,3.9,890,10001,0,0,Western,1
2004,3,2020,95,3.5,120,77003,1,0,Non-Western,0
2005,6,2017,30,3.7,540,90210,0,0,Western,1
2006,1,2023,250,3.0,12,48201,1,2,Non-Western,0
2007,10,2013,5,4.0,1200,94102,0,0,Western,1
2008,4,2019,120,3.4,200,60601,0,1,Non-Western,1
2009,7,2016,18,3.8,670,98101,0,0,Western,1
2010,2,2022,300,3.1,30,75201,1,0,Non-Western,0
2011,9,2014,8,3.95,1050,94110,0,0,Western,1
2012,3,2021,145,3.3,88,48205,1,1,Non-Western,0
2013,5,2018,40,3.6,410,10001,0,0,Western,1
2014,1,2023,400,2.9,5,48201,1,3,Non-Western,0
2015,12,2011,2,4.0,2100,90210,0,0,Western,1
