employee_id,performance_score,tasks_completed,peer_review_rating,projects_delivered,bugs_reported,client_satisfaction,on_time_delivery_rate,promoted
3001,88,142,4.2,12,3,4.5,0.94,1
3002,75,98,3.8,8,7,3.9,0.88,0
3003,92,167,4.7,15,1,4.8,0.97,1
3004,70,85,3.5,7,9,3.7,0.82,0
3005,85,130,4.1,11,4,4.3,0.91,1
3006,78,110,3.9,9,6,4.0,0.89,1
3007,95,180,4.9,18,0,4.9,0.99,1
3008,68,79,3.3,6,11,3.6,0.79,0
3009,82,125,4.0,10,5,4.2,0.90,1
3010,73,93,3.7,8,8,3.8,0.85,0
3011,90,155,4.6,14,2,4.7,0.96,1
3012,66,72,3.2,5,13,3.5,0.76,0
3013,87,138,4.3,12,3,4.4,0.93,1
3014,79,115,4.0,9,6,4.1,0.88,0
3015,94,175,4.8,17,1,4.8,0.98,1
